0,14,46,15,42,2,34,43,9,1,5,24,34,42,2
14,0,27,44,48,2,8,7,20,12,13,12,35,50,49
46,27,0,47,5,23,41,29,15,8,49,41,28,19,33
15,44,47,0,39,17,34,27,49,4,41,15,23,40,42
42,48,5,39,0,47,6,48,32,40,3,15,35,44,31
2,2,23,17,47,0,25,36,14,10,45,3,13,1,34
34,8,41,34,6,25,0,49,22,37,16,38,19,30,21
43,7,29,27,48,36,49,0,20,4,17,32,28,28,14
9,20,15,49,32,14,22,20,0,33,47,29,3,46,38
1,12,8,4,40,10,37,4,33,0,25,10,18,12,32
5,13,49,41,3,45,16,17,47,25,0,20,7,27,46
24,12,41,15,15,3,38,32,29,10,20,0,17,40,3
34,35,28,23,35,13,19,28,3,18,7,17,0,31,5
42,50,19,40,44,1,30,28,46,12,27,40,31,0,32
2,49,33,42,31,34,21,14,38,32,46,3,5,32,0
